,Date,Amount,Commodity
0,2018-01-01,75.7826086956522,IronOre
1,2018-02-01,77.65,IronOre
2,2018-03-01,71.3181818181818,IronOre
3,2018-04-01,66.3333333333333,IronOre
4,2018-05-01,66.6304347826087,IronOre
5,2018-06-01,66.8571428571429,IronOre
6,2018-07-01,67.0454545454545,IronOre
7,2018-08-01,68.0217391304348,IronOre
8,2018-09-01,68.8,IronOre
9,2018-10-01,72.0217391304348,IronOre
10,2018-11-01,72.2954545454545,IronOre
11,2018-12-01,68.9047619047619,IronOre
12,2019-01-01,75.2,IronOre
13,2019-02-01,87.59,IronOre
14,2019-03-01,87.0714285714286,IronOre
15,2019-04-01,94.5,IronOre
16,2019-05-01,101.760869565217,IronOre
17,2019-06-01,109.55,IronOre
18,2019-07-01,119.586956521739,IronOre
19,2019-08-01,93.5,IronOre
20,2019-09-01,92.2619047619048,IronOre
21,2019-10-01,88.5869565217391,IronOre
22,2019-11-01,82.9047619047619,IronOre
23,2019-12-01,90.9772727272727,IronOre
24,2020-01-01,95.2173913043478,IronOre
25,2020-02-01,87.625,IronOre
26,2020-03-01,88.6590909090909,IronOre
27,2020-04-01,83.75,IronOre
28,2020-05-01,91.3333333333333,IronOre
29,2020-06-01,103.340909090909,IronOre
30,2020-07-01,108.021739130435,IronOre
31,2020-08-01,120.071428571429,IronOre
32,2020-09-01,123,IronOre
33,2020-10-01,119.25,IronOre
34,2020-11-01,123.52380952381,IronOre
35,2020-12-01,153.065217391304,IronOre
36,2021-01-01,166.738095238095,IronOre
37,2021-02-01,162.325,IronOre
38,2021-03-01,166.739130434783,IronOre
39,2021-04-01,178.25,IronOre
40,2021-05-01,202.857142857143,IronOre
41,2021-06-01,215.815789473684,IronOre
42,2021-07-01,214.340909090909,IronOre
43,2021-08-01,162.090909090909,IronOre
44,2021-09-01,113.71875,IronOre
45,2021-10-01,114.47619047619,IronOre
46,2021-11-01,90.1315789473684,IronOre
47,2021-12-01,110.45652173913,IronOre
48,2022-01-01,133.045454545455,IronOre
49,2022-02-01,139.7,IronOre
50,2022-03-01,147.347826086957,IronOre
51,2022-04-01,146.666666666667,IronOre
52,2022-05-01,131.090909090909,IronOre
53,2022-06-01,131.045454545455,IronOre
54,2022-07-01,109.047619047619,IronOre
55,2022-08-01,109.065217391304,IronOre
0,2018-01-01,935.475271739132,SunflowerOil
1,2018-02-01,951.960625000001,SunflowerOil
2,2018-03-01,946.611458333335,SunflowerOil
3,2018-04-01,957.950496031747,SunflowerOil
4,2018-05-01,938.999456521741,SunflowerOil
5,2018-06-01,911.632638888891,SunflowerOil
6,2018-07-01,932.146875000002,SunflowerOil
7,2018-08-01,889.138768115944,SunflowerOil
8,2018-09-01,857.545104166668,SunflowerOil
9,2018-10-01,855.72427536232,SunflowerOil
10,2018-11-01,818.067708333335,SunflowerOil
11,2018-12-01,814.422321428572,SunflowerOil
12,2019-01-01,827.53079710145,SunflowerOil
13,2019-02-01,847.21951754386,SunflowerOil
14,2019-03-01,840.869246031747,SunflowerOil
15,2019-04-01,840.719791666667,SunflowerOil
16,2019-05-01,871.517844202899,SunflowerOil
17,2019-06-01,885.764687500001,SunflowerOil
18,2019-07-01,913.15543478261,SunflowerOil
19,2019-08-01,908.676041666668,SunflowerOil
20,2019-09-01,904.055952380953,SunflowerOil
21,2019-10-01,884.96195652174,SunflowerOil
22,2019-11-01,912.633333333334,SunflowerOil
23,2019-12-01,965.033333333334,SunflowerOil
24,2020-01-01,1000.21585144928,SunflowerOil
25,2020-02-01,913.684062500001,SunflowerOil
26,2020-03-01,846.996875,SunflowerOil
27,2020-04-01,878.245833333334,SunflowerOil
28,2020-05-01,900.053174603176,SunflowerOil
29,2020-06-01,963.941666666668,SunflowerOil
30,2020-07-01,974.110778985508,SunflowerOil
31,2020-08-01,1033.4314484127,SunflowerOil
32,2020-09-01,1188.55208333334,SunflowerOil
33,2020-10-01,1198.37708333333,SunflowerOil
34,2020-11-01,1348.07837301588,SunflowerOil
35,2020-12-01,1432.38532608696,SunflowerOil
36,2021-01-01,1551.07638888889,SunflowerOil
37,2021-02-01,1653.5475,SunflowerOil
38,2021-03-01,1972.23822463768,SunflowerOil
39,2021-04-01,1919.69583333334,SunflowerOil
40,2021-05-01,1936.48670634921,SunflowerOil
41,2021-06-01,1586.46458333334,SunflowerOil
42,2021-07-01,1560.26458333334,SunflowerOil
43,2021-08-01,1678.71041666667,SunflowerOil
44,2021-09-01,1601.20208333334,SunflowerOil
45,2021-10-01,1735.49007936508,SunflowerOil
46,2021-11-01,1746.12083333334,SunflowerOil
47,2021-12-01,1685.60452898551,SunflowerOil
48,2022-01-01,1703.46785714286,SunflowerOil
49,2022-02-01,1829.76979166667,SunflowerOil
50,2022-03-01,2487.81340579711,SunflowerOil
51,2022-04-01,2536.61746031747,SunflowerOil
52,2022-05-01,2498.82500000001,SunflowerOil
53,2022-06-01,2154.40416666667,SunflowerOil
54,2022-07-01,1839.84821428572,SunflowerOil
55,2022-08-01,1823.43931159421,SunflowerOil
0,2018-01-01,842.578376956522,RapeseedOil
1,2018-02-01,822.213361,RapeseedOil
2,2018-03-01,795.606224090909,RapeseedOil
3,2018-04-01,791.391853809524,RapeseedOil
4,2018-05-01,808.139770434782,RapeseedOil
5,2018-06-01,818.629262380952,RapeseedOil
6,2018-07-01,842.596240909091,RapeseedOil
7,2018-08-01,852.796696956522,RapeseedOil
8,2018-09-01,841.173709,RapeseedOil
9,2018-10-01,870.23825826087,RapeseedOil
10,2018-11-01,850.794377727273,RapeseedOil
11,2018-12-01,819.409514285714,RapeseedOil
12,2019-01-01,839.940769565217,RapeseedOil
13,2019-02-01,818.466435789474,RapeseedOil
14,2019-03-01,801.679027619047,RapeseedOil
15,2019-04-01,800.198136818182,RapeseedOil
