Classification,Year,Period,Date Mapper,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2018,201803,3/1/2018,1-Mar,6,1,2,Exports,348,Hungary,,643,Russian Federation,,,,,,,,,230990,"Dog or cat food; (not put up for retail sale), used in animal feeding",,,,,,,244250,,1071081,,,0
HS,2018,201803,3/1/2018,1-Mar,6,1,2,Exports,752,Sweden,,643,Russian Federation,,,,,,,,,151411,"Vegetable oils; low erucic acid rape or colza oil and its fractions, crude",,,,,,,125,,364,,,0
HS,2018,201803,3/1/2018,1-Mar,6,1,2,Exports,752,Sweden,,643,Russian Federation,,,,,,,,,732393,"Steel, stainless; table, kitchen and other household articles and parts thereof",,,,,,,20,,243,,,0
HS,2018,201803,3/1/2018,1-Mar,6,1,2,Exports,752,Sweden,,643,Russian Federation,,,,,,,,,151219,"Vegetable oils; sunflower seed or safflower oil and their fractions, other than crude, whether or not refined, but not chemically modified",,,,,,,1000,,3278,,,0
HS,2018,201803,3/1/2018,1-Mar,6,1,2,Exports,752,Sweden,,643,Russian Federation,,,,,,,,,730441,"Steel, stainless; cold-drawn or cold-rolled, tubes and pipes of circular cross-section",,,,,,,24034,,432944,,,0
HS,2018,201803,3/1/2018,1-Mar,6,1,2,Exports,752,Sweden,,643,Russian Federation,,,,,,,,,732599,"Iron or steel; cast articles, excluding grinding balls and similar articles for mills, other than of non-malleable cast iron",,,,,,,177,,1943,,,0
HS,2018,201810,10/1/2018,1-Oct,6,1,2,Exports,246,Finland,,643,Russian Federation,,,,,,,,,151411,"Vegetable oils; low erucic acid rape or colza oil and its fractions, crude",,,,,,,80020,,82704,,,0
HS,2018,201802,2/1/2018,1-Feb,6,1,2,Exports,203,Czech Rep.,,643,Russian Federation,,,,,,,,,730441,"Steel, stainless; cold-drawn or cold-rolled, tubes and pipes of circular cross-section",,,,,,,691,,1551,,,0
HS,2018,201805,5/1/2018,1-May,6,1,2,Exports,31,Azerbaijan,,643,Russian Federation,,,,,,,,,270900,"Oils; petroleum oils and oils obtained from bituminous minerals, crude",,,,,,,63239,,28740,,,0
HS,2018,201805,5/1/2018,1-May,6,1,2,Exports,31,Azerbaijan,,643,Russian Federation,,,,,,,,,732111,"Cooking appliances and plate warmers; for gas fuel or for both gas and other fuels, of iron or steel",,,,,,,50,,71,,,0
HS,2018,201803,3/1/2018,1-Mar,6,1,2,Exports,31,Azerbaijan,,643,Russian Federation,,,,,,,,,732599,"Iron or steel; cast articles, excluding grinding balls and similar articles for mills, other than of non-malleable cast iron",,,,,,,15404,,19986,,,0
HS,2018,201803,3/1/2018,1-Mar,6,1,2,Exports,31,Azerbaijan,,643,Russian Federation,,,,,,,,,270900,"Oils; petroleum oils and oils obtained from bituminous minerals, crude",,,,,,,63895,,31524,,,0
HS,2018,201802,2/1/2018,1-Feb,6,1,2,Exports,348,Hungary,,643,Russian Federation,,,,,,,,,230990,"Dog or cat food; (not put up for retail sale), used in animal feeding",,,,,,,343217,,1894205,,,0
HS,2018,201802,2/1/2018,1-Feb,6,1,2,Exports,348,Hungary,,643,Russian Federation,,,,,,,,,732599,"Iron or steel; cast articles, excluding grinding balls and similar articles for mills, other than of non-malleable cast iron",,,,,,,14,,192,,,0
