Classification,Year,Period,Date Mapper,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2018,201801,1/1/2018,1-Jan,6,1,2,Exports,703,Slovakia,,643,Russian Federation,,,,,,,,,732393,"Steel, stainless; table, kitchen and other household articles and parts thereof",,,,,,,422,,3933,,,0
HS,2018,201804,4/1/2018,1-Apr,6,1,2,Exports,792,Turkey,,643,Russian Federation,,,,,,,,,151219,"Vegetable oils; sunflower seed or safflower oil and their fractions, other than crude, whether or not refined, but not chemically modified",,,,,,,152,,204,,,0
HS,2018,201804,4/1/2018,1-Apr,6,1,2,Exports,792,Turkey,,643,Russian Federation,,,,,,,,,732111,"Cooking appliances and plate warmers; for gas fuel or for both gas and other fuels, of iron or steel",,,,,,,117295,,681702,,,0
HS,2018,201804,4/1/2018,1-Apr,6,1,2,Exports,792,Turkey,,643,Russian Federation,,,,,,,,,230990,"Dog or cat food; (not put up for retail sale), used in animal feeding",,,,,,,19200,,13137,,,0
HS,2018,201810,10/1/2018,1-Oct,6,1,2,Exports,246,Finland,,643,Russian Federation,,,,,,,,,230990,"Dog or cat food; (not put up for retail sale), used in animal feeding",,,,,,,450702,,290091,,,0
HS,2018,201810,10/1/2018,1-Oct,6,1,2,Exports,246,Finland,,643,Russian Federation,,,,,,,,,732599,"Iron or steel; cast articles, excluding grinding balls and similar articles for mills, other than of non-malleable cast iron",,,,,,,19506,,101326,,,0
HS,2018,201809,9/1/2018,1-Sep,6,1,2,Exports,344,Hong Kong,,643,Russian Federation,,,,,,,,,732393,"Steel, stainless; table, kitchen and other household articles and parts thereof",,,,,,,30,,713,,,0
HS,2018,201802,2/1/2018,1-Feb,6,1,2,Exports,440,Lithuania,,643,Russian Federation,,,,,,,,,732111,"Cooking appliances and plate warmers; for gas fuel or for both gas and other fuels, of iron or steel",,,,,,,4772,,70497,,,0
HS,2018,201810,10/1/2018,1-Oct,6,1,2,Exports,203,Czech Rep.,,643,Russian Federation,,,,,,,,,730441,"Steel, stainless; cold-drawn or cold-rolled, tubes and pipes of circular cross-section",,,,,,,1,,403,,,0
HS,2018,201812,12/1/2018,1-Dec,6,1,2,Exports,792,Turkey,,643,Russian Federation,,,,,,,,,732111,"Cooking appliances and plate warmers; for gas fuel or for both gas and other fuels, of iron or steel",,,,,,,321580,,1653976,,,0
HS,2018,201812,12/1/2018,1-Dec,6,1,2,Exports,792,Turkey,,643,Russian Federation,,,,,,,,,732393,"Steel, stainless; table, kitchen and other household articles and parts thereof",,,,,,,60110,,393150,,,0
HS,2018,201812,12/1/2018,1-Dec,6,1,2,Exports,792,Turkey,,643,Russian Federation,,,,,,,,,732599,"Iron or steel; cast articles, excluding grinding balls and similar articles for mills, other than of non-malleable cast iron",,,,,,,168,,3492,,,0
HS,2018,201812,12/1/2018,1-Dec,6,1,2,Exports,792,Turkey,,643,Russian Federation,,,,,,,,,151219,"Vegetable oils; sunflower seed or safflower oil and their fractions, other than crude, whether or not refined, but not chemically modified",,,,,,,5582,,6610,,,0
HS,2018,201807,7/1/2018,1-Jul,6,1,2,Exports,792,Turkey,,643,Russian Federation,,,,,,,,,732393,"Steel, stainless; table, kitchen and other household articles and parts thereof",,,,,,,22731,,138014,,,0
