,Date,Amount,Commodity
51,2022-04-01,334.718233082678,Coal
52,2022-05-01,418.493877551035,Coal
53,2022-06-01,427.424999999999,Coal
54,2022-07-01,433.626530612249,Coal
55,2022-08-01,447.447564935064,Coal
0,2018-01-01,198.6,Gas
1,2018-02-01,206.5,Gas
2,2018-03-01,193.9,Gas
3,2018-04-01,196.1,Gas
4,2018-05-01,204.2,Gas
5,2018-06-01,208.4,Gas
6,2018-07-01,206.2,Gas
7,2018-08-01,209.3,Gas
8,2018-09-01,210.7,Gas
9,2018-10-01,224.8,Gas
10,2018-11-01,195.2,Gas
11,2018-12-01,172.7,Gas
12,2019-01-01,155.9,Gas
13,2019-02-01,166.9,Gas
14,2019-03-01,179.6,Gas
15,2019-04-01,200.5,Gas
16,2019-05-01,197.3,Gas
17,2019-06-01,185.4,Gas
18,2019-07-01,186.5,Gas
19,2019-08-01,182.6,Gas
20,2019-09-01,177.1,Gas
21,2019-10-01,187.7,Gas
22,2019-11-01,183.9,Gas
23,2019-12-01,193.4,Gas
24,2020-01-01,191.3,Gas
25,2020-02-01,182.7,Gas
26,2020-03-01,132.4,Gas
27,2020-04-01,60.5,Gas
28,2020-05-01,84.1,Gas
29,2020-06-01,116.9,Gas
30,2020-07-01,125.8,Gas
31,2020-08-01,129.2,Gas
32,2020-09-01,130.7,Gas
33,2020-10-01,132.6,Gas
34,2020-11-01,129.3,Gas
35,2020-12-01,153.9,Gas
36,2021-01-01,169.3,Gas
37,2021-02-01,188.7,Gas
38,2021-03-01,198.7,Gas
39,2021-04-01,199.6,Gas
40,2021-05-01,202.1,Gas
41,2021-06-01,213.6,Gas
42,2021-07-01,222.460,Gas
43,2021-08-01,226.861,Gas
44,2021-09-01,237.064,Gas
45,2021-10-01,253.106,Gas
46,2021-11-01,260.541,Gas
47,2021-12-01,255.880,Gas
48,2022-01-01,264.205,Gas
49,2022-02-01,302.371,Gas
50,2022-03-01,319.645,Gas
51,2022-04-01,309.727,Gas
52,2022-05-01,336.666,Gas
53,2022-06-01,395.066,Gas
54,2022-07-01,325.871,Gas
55,2022-08-01,285.505,Gas
56,2022-09-01,279.920,Gas
0,2018-01-01,100.249663493563,Barley
1,2018-02-01,106.774269622297,Barley
2,2018-03-01,108.987846992471,Barley
3,2018-04-01,112.208269943126,Barley
4,2018-05-01,117.174179091865,Barley
5,2018-06-01,103.489650842792,Barley
6,2018-07-01,99.0122985496339,Barley
7,2018-08-01,98.8701601352608,Barley
8,2018-09-01,95.4333201086106,Barley
9,2018-10-01,102.799517044737,Barley
10,2018-11-01,105.397999338289,Barley
11,2018-12-01,101.919686752465,Barley
12,2019-01-01,102.459223487593,Barley
13,2019-02-01,106.881864838995,Barley
14,2019-03-01,103.896170073376,Barley
15,2019-04-01,100.845793264938,Barley
16,2019-05-01,106.162069313344,Barley
17,2019-06-01,125.373480758058,Barley
18,2019-07-01,128.139517728594,Barley
19,2019-08-01,110.276433680156,Barley
20,2019-09-01,103.709782177152,Barley
21,2019-10-01,112.956558375158,Barley
22,2019-11-01,113.084408346929,Barley
23,2019-12-01,111.431228662094,Barley
24,2020-01-01,115.051659790474,Barley
25,2020-02-01,110.835956674272,Barley
26,2020-03-01,101.676812669613,Barley
27,2020-04-01,97.9840212618048,Barley
28,2020-05-01,98.6406263994656,Barley
29,2020-06-01,101.678356890104,Barley
30,2020-07-01,102.030510426173,Barley
31,2020-08-01,102.610103648888,Barley
32,2020-09-01,102.120478790456,Barley
33,2020-10-01,102.371164053246,Barley
34,2020-11-01,108.051915664124,Barley
35,2020-12-01,112.461382943699,Barley
36,2021-01-01,125.698533425369,Barley
37,2021-02-01,137.84528737861,Barley
38,2021-03-01,138.981324779512,Barley
39,2021-04-01,154.252125666342,Barley
40,2021-05-01,195.835226072675,Barley
41,2021-06-01,187.365401443455,Barley
42,2021-07-01,180.169082854825,Barley
43,2021-08-01,169.775841552389,Barley
44,2021-09-01,175.574479097863,Barley
45,2021-10-01,208.656285859714,Barley
46,2021-11-01,224.359732474101,Barley
47,2021-12-01,238.510804566249,Barley
48,2022-01-01,250.918794288316,Barley
49,2022-02-01,249.247019825637,Barley
50,2022-03-01,256.266771626368,Barley
51,2022-04-01,262.955867275532,Barley
52,2022-05-01,257.364570457882,Barley
53,2022-06-01,259.13460698966,Barley
54,2022-07-01,240.298062026603,Barley
55,2022-08-01,212.400765428984,Barley
0,2018-01-01,155.916875340136,Corn
1,2018-02-01,163.460969736842,Corn
2,2018-03-01,172.076589965986,Corn
3,2018-04-01,175.600982482993,Corn
4,2018-05-01,179.179058928571,Corn
5,2018-06-01,165.140285544218,Corn
6,2018-07-01,156.55426547619,Corn
7,2018-08-01,162.522258540373,Corn
8,2018-09-01,154.945003383459,Corn
9,2018-10-01,160.365565062112,Corn
10,2018-11-01,160.878207678571,Corn
11,2018-12-01,167.489880555556,Corn
12,2019-01-01,166.846241496599,Corn
13,2019-02-01,169.656283458647,Corn
14,2019-03-01,166.321331972789,Corn
15,2019-04-01,161.653386564626,Corn
16,2019-05-01,171.180153571429,Corn
17,2019-06-01,195.167922321429,Corn
18,2019-07-01,189.486373214286,Corn
19,2019-08-01,163.628614285714,Corn
20,2019-09-01,157.374436607143,Corn
21,2019-10-01,167.297794099379,Corn
22,2019-11-01,166.361785526316,Corn
23,2019-12-01,167.059017321429,Corn
24,2020-01-01,171.814135204082,Corn
25,2020-02-01,168.744598496241,Corn
26,2020-03-01,162.179148214286,Corn
27,2020-04-01,147.012160204082,Corn
28,2020-05-01,143.98924375,Corn
29,2020-06-01,148.042380357143,Corn
30,2020-07-01,152.587619642857,Corn
31,2020-08-01,149.392999829932,Corn
32,2020-09-01,166.602533503401,Corn
33,2020-10-01,186.7663875,Corn
34,2020-11-01,190.625037593985,Corn
35,2020-12-01,199.184417517007,Corn
36,2021-01-01,231.754461466165,Corn
37,2021-02-01,245.554056578947,Corn
38,2021-03-01,245.760356832298,Corn
39,2021-04-01,268.622448809524,Corn
40,2021-05-01,304.297549659864,Corn
41,2021-06-01,292.523726785714,Corn
42,2021-07-01,278.445755612245,Corn
43,2021-08-01,257.020755357143,Corn
44,2021-09-01,235.815603571429,Corn
45,2021-10-01,239.60245085034,Corn
46,2021-11-01,248.767746071429,Corn
47,2021-12-01,264.573146768707,Corn
48,2022-01-01,276.719178214286,Corn
49,2022-02-01,292.671593045113,Corn
50,2022-03-01,335.930684161491,Corn
51,2022-04-01,348.507116964286,Corn
52,2022-05-01,344.909299603175,Corn
53,2022-06-01,335.717134013605,Corn
54,2022-07-01,312.682041964286,Corn
55,2022-08-01,293.930790333851,Corn
