Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2021,202101,Jan-21,4,0,2,Exports,804,Ukraine,,0,World,,,,,,,,,1005,Maize (corn),,,,,,,1995540957,,403537814,,,0
HS,2021,202102,Feb-21,4,0,2,Exports,804,Ukraine,,0,World,,,,,,,,,1005,Maize (corn),,,,,,,2476143838,,554516976,,,0
HS,2021,202103,Mar-21,4,0,2,Exports,804,Ukraine,,0,World,,,,,,,,,1005,Maize (corn),,,,,,,2620105018,,618327124,,,0
HS,2021,202104,Apr-21,4,0,2,Exports,804,Ukraine,,0,World,,,,,,,,,1005,Maize (corn),,,,,,,2627966792,,651698239,,,0
HS,2021,202105,May-21,4,0,2,Exports,804,Ukraine,,0,World,,,,,,,,,1005,Maize (corn),,,,,,,2245398984,,568715616,,,0
HS,2021,202106,Jun-21,4,0,2,Exports,804,Ukraine,,0,World,,,,,,,,,1005,Maize (corn),,,,,,,1698204961,,446837990,,,0
HS,2021,202107,Jul-21,4,0,2,Exports,804,Ukraine,,0,World,,,,,,,,,1005,Maize (corn),,,,,,,,,250200027,,,0
HS,2021,202108,Aug-21,4,0,2,Exports,804,Ukraine,,0,World,,,,,,,,,1005,Maize (corn),,,,,,,301502075,,77917828,,,0
HS,2021,202109,Sep-21,4,0,2,Exports,804,Ukraine,,0,World,,,,,,,,,1005,Maize (corn),,,,,,,29238965,,4486524,,,0
HS,2021,202110,Oct-21,4,0,2,Exports,804,Ukraine,,0,World,,,,,,,,,1005,Maize (corn),,,,,,,894846046,,209500911,,,0
HS,2021,202111,Nov-21,4,0,2,Exports,804,Ukraine,,0,World,,,,,,,,,1005,Maize (corn),,,,,,,3791803424,,888684639,,,0
HS,2021,202112,Dec-21,4,0,2,Exports,804,Ukraine,,0,World,,,,,,,,,1005,Maize (corn),,,,,,,4897227685,,1180162858,,,0
HS,2021,202101,Jan-21,4,0,2,Exports,804,Ukraine,,0,World,,,,,,,,,1101,Wheat or meslin flour,,,,,,,6841228,,2132471,,,0
